<PorterStemmer>
33.50181579589844
         51751046 function calls (51737076 primitive calls) in 33.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
      137    0.000    0.000    0.000    0.000 _util.py:210(check_random_state)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2459(__init__)
      100    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
     1290    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 api.py:8(<module>)
      831    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_filename)
       16    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(linspace)
        1    0.000    0.000    0.000    0.000 version.py:269(LooseVersion)
        1    0.000    0.000    0.000    0.000 text.py:195(_VectorizerMixin)
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
        2    0.000    0.000    0.000    0.000 grammar.py:668(_calculate_grammar_forms)
        1    0.000    0.000    0.000    0.000 _encode.py:1(<module>)
       26    0.000    0.000    0.000    0.000 getlimits.py:382(__new__)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 distance.py:1752(MetricInfo)
      831    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:846(create_module)
      129    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 function_base.py:23(linspace)
       55    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      622    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      110    0.000    0.000    0.000    0.000 _regex_core.py:2453(__init__)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
        1    0.000    0.000    0.000    0.000 linearlogic.py:9(<module>)
      404    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      117    0.000    0.000    0.000    0.000 sre_parse.py:1054(expand_template)
        1    0.000    0.000    0.000    0.000 bllip.py:9(<module>)
      405    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      187    0.000    0.000    0.000    0.000 types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       30    0.000    0.000    0.000    0.000 inspect.py:2599(__str__)
      406    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 regexp.py:10(<module>)
      792    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
      407    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        2    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
       14    0.000    0.000    0.000    0.000 abc.py:89(register)
       12    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
        6    0.000    0.000    0.000    0.000 enum.py:993(_decompose)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 data.py:988(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2011(optimise)
        1    0.000    0.000    0.000    0.000 collections.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
     1322    0.000    0.000    0.000    0.000 inspect.py:2573(annotation)
        1    0.000    0.000    0.000    0.000 data.py:202(normalize_resource_name)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:11(<module>)
      579    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       10    0.000    0.000    0.000    0.000 textwrap.py:160(_split)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f4aa9edc670}
       25    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
     1023    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
  196/110    0.000    0.000    0.000    0.000 typing.py:739(__hash__)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2085(_compile)
       14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
     1715    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      563    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 text.py:309(Text)
       26    0.000    0.000    0.000    0.000 typing.py:223(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 process.py:4(<module>)
      316    0.000    0.000    0.000    0.000 overrides.py:141(array_function_dispatch)
      570    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       12    0.000    0.000    0.000    0.000 dataclasses.py:358(_recursive_repr)
        5    0.000    0.000    0.000    0.000 typing.py:863(__getitem__)
        1    0.000    0.000    0.000    0.000 projectivedependencyparser.py:10(<module>)
      456    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
       31    0.000    0.000    0.000    0.000 grammar.py:1374(<listcomp>)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
       23    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        2    0.000    0.000    0.000    0.000 sysconfig.py:163(_extend_dict)
      558    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        6    0.000    0.000    0.000    0.000 numeric.py:2514(extend_all)
        1    0.000    0.000    0.000    0.000 decorators.py:163(decorator)
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
    36/17    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
       19    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 typing.py:1818(__new__)
        1    0.000    0.000    0.000    0.000 decorators.py:108(update_wrapper)
       32    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       22    0.000    0.000    0.000    0.000 _regex_core.py:1822(with_flags)
       58    0.000    0.000    0.000    0.000 typing.py:182(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sf_error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:44(getinfo)
        1    0.000    0.000    0.000    0.000 mwe.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sequential.py:492(RegexpTagger)
    36/17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      192    0.000    0.000    0.000    0.000 _regex_core.py:3972(get)
       15    0.000    0.000    0.000    0.000 _regex_core.py:3797(_compile)
        1    0.000    0.000    0.000    0.000 base.py:147(BaseEstimator)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:1798(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 synchronize.py:10(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:141(is_python_build)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:124(_is_python_source_dir)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        1    0.000    0.000    0.000    0.000 _rcv1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 prover9.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _logistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pslinux.py:610(per_cpu_times)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        4    0.000    0.000    0.000    0.000 miobase.py:128(convert_dtypes)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 toolbox.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _lfw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nkjp.py:8(<module>)
        1    0.000    0.000    0.000    0.000 metaestimators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2102(_flatten_branches)
      162    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      135    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       58    0.000    0.000    0.000    0.000 grammar.py:1445(standard_nonterm_parser)
       13    0.000    0.000    0.000    0.000 _regex_core.py:3590(rebuild)
        1    0.000    0.000    0.000    0.000 sexpr.py:9(<module>)
        1    0.000    0.000    0.000    0.000 resolution.py:9(<module>)
        3    0.000    0.000    0.000    0.000 _regex_core.py:300(_compile_firstset)
     11/7    0.000    0.000    0.000    0.000 _regex_core.py:3386(pack_characters)
        1    0.000    0.000    0.000    0.000 pchart.py:9(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:103(_safe_realpath)
      317    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 nonprojectivedependencyparser.py:10(<module>)
       26    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        2    0.000    0.000    0.000    0.000 posixpath.py:387(realpath)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.000    0.000 _multivariate.py:4371(__init__)
        1    0.000    0.000    0.000    0.000 tarfile.py:714(TarInfo)
       40    0.000    0.000    0.000    0.000 grammar.py:406(__init__)
      7/4    0.000    0.000    0.000    0.000 _regex_core.py:2965(_compile)
       41    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:62(<genexpr>)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
        1    0.000    0.000    0.000    0.000 treebank.py:26(TreebankWordTokenizer)
        1    0.000    0.000    0.000    0.000 _multivariate.py:351(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 version.py:280(Version)
       76    0.000    0.000    0.000    0.000 util.py:51(__init__)
       27    0.000    0.000    0.000    0.000 _regex_core.py:1167(parse_escape)
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8098(__init__)
        1    0.000    0.000    0.000    0.000 _pslinux.py:594(cpu_times)
        6    0.000    0.000    0.000    0.000 types.py:69(new_class)
      584    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 data.py:1401(_check_bom)
        1    0.000    0.000    0.000    0.000 hmm.py:13(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2986(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:877(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        4    0.000    0.000    0.000    0.000 polynomial.py:1218(__init__)
        1    0.000    0.000    0.000    0.000 idl.py:30(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:920(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
       39    0.000    0.000    0.000    0.000 inspect.py:1233(formatannotation)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
        1    0.000    0.000    0.000    0.000 decomp_cholesky.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1609(lookup_property)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:1(<module>)
        1    0.000    0.000    0.000    0.000 data.py:1(<module>)
        6    0.000    0.000    0.000    0.000 gettext.py:211(_expand_lang)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
     28/6    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 downloader.py:1284(DownloaderGUI)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       46    0.000    0.000    0.000    0.000 dataclasses.py:753(_set_new_attribute)
    86/43    0.000    0.000    0.000    0.000 typing.py:916(__hash__)
        1    0.000    0.000    0.000    0.000 gzip.py:25(open)
       37    0.000    0.000    0.000    0.000 typing.py:903(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:75(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:292(Process)
       12    0.000    0.000    0.000    0.000 _regex_core.py:2845(_compile)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 _distr_params.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sexpr.py:79(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _regex_core.py:310(_check_firstset)
      3/2    0.000    0.000    0.000    0.000 posixpath.py:396(_joinrealpath)
      7/4    0.000    0.000    0.000    0.000 _regex_core.py:2938(optimise)
        1    0.000    0.000    0.000    0.000 tempfile.py:284(__next__)
        1    0.000    0.000    0.000    0.000 compressor.py:231(BinaryZlibFile)
        1    0.000    0.000    0.000    0.000 precision_recall_curve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dict_vectorizer.py:5(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8103(getdoc)
        1    0.000    0.000    0.000    0.000 _covtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       65    0.000    0.000    0.000    0.000 lexicon.py:153(nextCategory)
        1    0.000    0.000    0.000    0.000 _quadrature.py:1(<module>)
       30    0.000    0.000    0.000    0.000 typing.py:820(<genexpr>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        1    0.000    0.000    0.000    0.000 tableau.py:9(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
        1    0.000    0.000    0.000    0.000 vocabulary.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _search.py:382(BaseSearchCV)
      442    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
       67    0.000    0.000    0.000    0.000 os.py:754(encode)
        1    0.000    0.000    0.000    0.000 _california_housing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:1(<module>)
      418    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       13    0.000    0.000    0.000    0.000 re.py:325(_subx)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        9    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
        1    0.000    0.000    0.000    0.000 ibm3.py:8(<module>)
       48    0.000    0.000    0.000    0.000 lapack.py:876(backtickrepl)
        2    0.000    0.000    0.000    0.000 senna.py:8(<module>)
        1    0.000    0.000    0.000    0.000 nombank.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:415(_init)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1402(__init__)
        7    0.000    0.000    0.000    0.000 shutil.py:1327(get_terminal_size)
      121    0.000    0.000    0.000    0.000 typing.py:121(_type_convert)
        1    0.000    0.000    0.000    0.000 _globals.py:57(_NoValueType)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:766(__contains__)
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      856    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 polyint.py:1(<module>)
      165    0.000    0.000    0.000    0.000 enum.py:527(<lambda>)
      402    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       27    0.000    0.000    0.000    0.000 enum.py:537(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 re.py:198(search)
        1    0.000    0.000    0.000    0.000 _omp.py:1(<module>)
       34    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.000    0.000 os.py:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 link.py:1(<module>)
        3    0.000    0.000    0.000    0.000 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 simple.py:9(<module>)
      201    0.000    0.000    0.000    0.000 _internal.py:826(<genexpr>)
        1    0.000    0.000    0.000    0.000 _common.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decomp.py:16(<module>)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1160(__init__)
       11    0.000    0.000    0.000    0.000 decorator.py:127(update)
        1    0.000    0.000    0.000    0.000 queues.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:3906(__init__)
        3    0.000    0.000    0.000    0.000 random.py:117(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 wordlist.py:8(<module>)
       11    0.000    0.000    0.000    0.000 metaestimators.py:162(<lambda>)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      541    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 functools.py:191(<setcomp>)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        2    0.000    0.000    0.000    0.000 os.py:344(_walk)
        1    0.000    0.000    0.000    0.000 regexp.py:75(RegexpTokenizer)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
        1    0.000    0.000    0.000    0.000 conll.py:9(<module>)
      266    0.000    0.000    0.000    0.000 _regex_core.py:1819(__init__)
        1    0.000    0.000    0.000    0.000 bsr.py:22(bsr_matrix)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
        2    0.000    0.000    0.000    0.000 re.py:315(_compile_repl)
        3    0.000    0.000    0.000    0.000 typing.py:859(copy_with)
  107/106    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.000    0.000 version.py:65(parse)
        1    0.000    0.000    0.000    0.000 ipipan.py:8(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
       26    0.000    0.000    0.000    0.000 typing.py:209(_deduplicate)
       12    0.000    0.000    0.000    0.000 _regex_core.py:476(apply_quantifier)
        1    0.000    0.000    0.000    0.000 _quad_vec.py:1(<module>)
        2    0.000    0.000    0.000    0.000 doccer.py:1(<module>)
       29    0.000    0.000    0.000    0.000 dataclasses.py:344(_tuple_str)
       56    0.000    0.000    0.000    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
        2    0.000    0.000    0.000    0.000 random.py:126(seed)
        3    0.000    0.000    0.000    0.000 version.py:284(__init__)
        1    0.000    0.000    0.000    0.000 ycoe.py:8(<module>)
       29    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        4    0.000    0.000    0.000    0.000 logic.py:100(__init__)
        1    0.000    0.000    0.000    0.000 _fortran_format_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mte.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 response.py:1(<module>)
        5    0.000    0.000    0.000    0.000 locale.py:653(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:1(<module>)
       33    0.000    0.000    0.000    0.000 dataclasses.py:322(field)
        1    0.000    0.000    0.000    0.000 smoothing.py:8(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:334(<listcomp>)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.000    0.000 _estimator_html_repr.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _pep440.py:117(parse)
      116    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 sre_parse.py:969(parse_template)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2061(pack_characters)
        1    0.000    0.000    0.000    0.000 _ransac.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
        1    0.000    0.000    0.000    0.000 _bayes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dop853_coefficients.py:1(<module>)
       20    0.000    0.000    0.000    0.000 dataclasses.py:612(_is_type)
        1    0.000    0.000    0.000    0.000 _species_distributions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:103(FullHessianUpdateStrategy)
        6    0.000    0.000    0.000    0.000 locale.py:386(normalize)
      186    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      395    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       62    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 aligned.py:8(<module>)
        1    0.000    0.000    0.000    0.000 senseval.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _psposix.py:60(<listcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        2    0.000    0.000    0.000    0.000 _regex_core.py:2062(<listcomp>)
       41    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       22    0.000    0.000    0.000    0.000 <string>:2(__init__)
       11    0.000    0.000    0.000    0.000 metaestimators.py:94(__init__)
        1    0.000    0.000    0.000    0.000 gzip.py:133(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:273(rng)
        5    0.000    0.000    0.000    0.000 doccer.py:133(_doc)
        1    0.000    0.000    0.000    0.000 validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bnc.py:8(<module>)
        2    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
        1    0.000    0.000    0.000    0.000 stack_decoder.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idl.py:630(AttrDict)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 semcor.py:8(<module>)
       12    0.000    0.000    0.000    0.000 _regex_core.py:2816(optimise)
        1    0.000    0.000    0.000    0.000 stanford.py:9(<module>)
        1    0.000    0.000    0.000    0.000 netcdf.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        7    0.000    0.000    0.000    0.000 _regex_core.py:1598(standardise_name)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 process_executor.py:487(_ExecutorManagerThread)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method regex._regex.compile}
        1    0.000    0.000    0.000    0.000 numpy_pickle_compat.py:1(<module>)
       10    0.000    0.000    0.000    0.000 textwrap.py:146(_munge_whitespace)
        1    0.000    0.000    0.000    0.000 rule.py:10(<module>)
        3    0.000    0.000    0.000    0.000 blas.py:383(getter)
       44    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        1    0.000    0.000    0.000    0.000 _passive_aggressive.py:4(<module>)
        1    0.000    0.000    0.000    0.000 legality_principle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1829(parse_args)
        4    0.000    0.000    0.000    0.000 deprecation.py:97(_decorate_property)
        1    0.000    0.000    0.000    0.000 lsoda.py:1(<module>)
        1    0.000    0.000    0.000    0.000 roc_curve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 handler.py:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:1448(add_argument_group)
       11    0.000    0.000    0.000    0.000 inspect.py:1864(_signature_is_builtin)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       19    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        1    0.000    0.000    0.000    0.000 _theil_sen.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:337(_sanity_check)
        1    0.000    0.000    0.000    0.000 api.py:148(Direction)
        1    0.000    0.000    0.000    0.000 argparse.py:1836(parse_known_args)
        1    0.000    0.000    0.000    0.000 __init__.py:459(<listcomp>)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.000    0.000 dependency.py:10(<module>)
       27    0.000    0.000    0.000    0.000 enum.py:391(__getattr__)
        1    0.000    0.000    0.000    0.000 confusion_matrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ksstats.py:68(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        2    0.000    0.000    0.000    0.000 numeric.py:149(ones)
       14    0.000    0.000    0.000    0.000 grammar.py:674(<genexpr>)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mannwhitneyu.py:23(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1274(__init__)
       61    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:216(<listcomp>)
        1    0.000    0.000    0.000    0.000 perceptron.py:11(<module>)
        1    0.000    0.000    0.000    0.000 downloader.py:483(__init__)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        3    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
        1    0.000    0.000    0.000    0.000 dependencygraph.py:11(<module>)
        2    0.000    0.000    0.000    0.000 util.py:716(invert_graph)
        1    0.000    0.000    0.000    0.000 saxutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _rvs_sampling.py:2(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:798(singledispatch)
        1    0.000    0.000    0.000    0.000 texttiling.py:9(<module>)
        9    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       77    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
       11    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mio5.py:150(MatFile5Reader)
      158    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        3    0.000    0.000    0.000    0.000 blas.py:410(get_blas_funcs)
        1    0.000    0.000    0.000    0.000 _polynomial.py:31(PolynomialFeatures)
        5    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
        5    0.000    0.000    0.000    0.000 _regex_core.py:4284(_get_required_string)
