<PorterStemmer>
33.50181579589844
         51751046 function calls (51737076 primitive calls) in 33.900 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.024    0.006 base.py:1(<module>)
      379    0.002    0.000    0.024    0.000 _util.py:349(getfullargspec_no_self)
  881/320    0.009    0.000    0.023    0.000 sre_parse.py:493(_parse)
 1033/526    0.009    0.000    0.022    0.000 inspect.py:2244(_signature_from_callable)
        1    0.020    0.020    0.020    0.020 {built-in method gc.collect}
      316    0.001    0.000    0.020    0.000 overrides.py:183(decorator)
      391    0.000    0.000    0.019    0.000 inspect.py:3128(signature)
      391    0.000    0.000    0.019    0.000 inspect.py:2876(from_callable)
      124    0.001    0.000    0.018    0.000 _distn_infrastructure.py:631(__init__)
      831    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
      296    0.000    0.000    0.018    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.017    0.017 _joblib.py:1(<module>)
        2    0.000    0.000    0.017    0.009 __init__.py:7(<module>)
     8933    0.017    0.000    0.017    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.017    0.017 _classes.py:1(<module>)
        1    0.000    0.000    0.016    0.016 scores.py:9(<module>)
      981    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
     8954    0.014    0.000    0.014    0.000 {method 'cast' of 'memoryview' objects}
      329    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.013    0.013 request.py:1(<module>)
 1445/296    0.004    0.000    0.012    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.012    0.012 _discrete_distns.py:5(<module>)
      401    0.007    0.000    0.012    0.000 doccer.py:177(indentcount_lines)
     1662    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        1    0.000    0.000    0.012    0.012 _minimize.py:1(<module>)
       19    0.000    0.000    0.011    0.001 _distn_infrastructure.py:2959(__init__)
      124    0.000    0.000    0.011    0.000 _distn_infrastructure.py:699(_attach_argparser_methods)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
      105    0.001    0.000    0.011    0.000 _distn_infrastructure.py:1751(_attach_methods)
        1    0.000    0.000    0.010    0.010 parallel.py:1(<module>)
     3609    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      124    0.001    0.000    0.010    0.000 _distn_infrastructure.py:713(_construct_argparser)
     8930    0.009    0.000    0.010    0.000 gzip.py:98(prepend)
        2    0.000    0.000    0.010    0.005 _procrustes.py:1(<module>)
        1    0.000    0.000    0.010    0.010 client.py:1(<module>)
     7033    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.010    0.010 kdtree.py:3(<module>)
     3646    0.009    0.000    0.009    0.000 {built-in method posix.stat}
     1789    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:385(cached)
      526    0.003    0.000    0.009    0.000 inspect.py:2150(_signature_from_function)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
        1    0.000    0.000    0.009    0.009 optimize.py:20(<module>)
        1    0.000    0.000    0.009    0.009 _parallel_backends.py:1(<module>)
        2    0.008    0.004    0.008    0.004 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.008    0.008 minimize_trustregion_constr.py:1(<module>)
      958    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.008    0.008 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _least_angle.py:1(<module>)
      831    0.008    0.000    0.008    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.008    0.008 distance.py:1(<module>)
        1    0.000    0.000    0.008    0.008 casual.py:14(<module>)
        1    0.000    0.000    0.008    0.008 featstruct.py:10(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
      120    0.003    0.000    0.008    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.008    0.008 _numdiff.py:1(<module>)
     1027    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.007    0.007 pool.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _constraints.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.006    0.006 memory.py:1(<module>)
        1    0.000    0.000    0.006    0.006 agreement.py:9(<module>)
      571    0.004    0.000    0.006    0.000 sre_compile.py:276(_optimize_charset)
     8878    0.006    0.000    0.006    0.000 {method 'splitlines' of 'str' objects}
       12    0.000    0.000    0.006    0.000 dataclasses.py:1012(wrap)
       12    0.000    0.000    0.006    0.000 dataclasses.py:809(_process_class)
       19    0.000    0.000    0.006    0.000 _distn_infrastructure.py:3020(_construct_docstrings)
        1    0.000    0.000    0.006    0.006 regex.py:16(<module>)
     2376    0.002    0.000    0.005    0.000 enum.py:334(__call__)
        1    0.000    0.000    0.005    0.005 _olivetti_faces.py:1(<module>)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
        2    0.000    0.000    0.005    0.003 _validation.py:1(<module>)
     8932    0.004    0.000    0.005    0.000 _compression.py:12(_check_not_closed)
        2    0.000    0.000    0.005    0.003 __init__.py:2(<module>)
     1629    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.005    0.005 destructive.py:9(<module>)
      296    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _pslinux.py:5(<module>)
      923    0.002    0.000    0.005    0.000 functools.py:35(update_wrapper)
     7033    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      958    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
    15251    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.005    0.005 codata.py:7(<module>)
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
       40    0.000    0.000    0.005    0.000 doccer.py:222(decorate)
     1258    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.002    0.002    0.005    0.005 _regex_core.py:16(<module>)
     1357    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.004    0.004 text.py:10(<module>)
        1    0.000    0.000    0.004    0.004 _root.py:1(<module>)
      135    0.001    0.000    0.004    0.000 inspect.py:1129(getfullargspec)
        1    0.000    0.000    0.004    0.004 filters.py:31(<module>)
    10273    0.002    0.000    0.004    0.000 sre_parse.py:254(get)
     1662    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      309    0.000    0.000    0.004    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
    18161    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.004    0.004 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.004    0.004 parser.py:5(<module>)
        1    0.000    0.000    0.004    0.004 _common.py:5(<module>)
        1    0.000    0.000    0.004    0.004 _openml.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _linprog.py:1(<module>)
        1    0.000    0.000    0.004    0.004 feedparser.py:5(<module>)
     8905    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.004    0.004 ssl.py:4(<module>)
     1735    0.002    0.000    0.004    0.000 inspect.py:2515(__init__)
      286    0.001    0.000    0.004    0.000 overrides.py:89(verify_matching_signatures)
       13    0.000    0.000    0.004    0.000 enum.py:504(_convert_)
      120    0.004    0.000    0.004    0.000 {built-in method builtins.eval}
      958    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
       51    0.000    0.000    0.003    0.000 dataclasses.py:377(_create_fn)
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
       27    0.001    0.000    0.003    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.003    0.003 destructive.py:33(NLTKWordTokenizer)
        1    0.000    0.000    0.003    0.003 chart.py:8(<module>)
     1629    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.003    0.003 _pep440.py:1(<module>)
     1427    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
        1    0.000    0.000    0.003    0.003 _arff.py:27(<module>)
        4    0.002    0.001    0.003    0.001 codata.py:1498(parse_constants_2002to2014)
      456    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
      602    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
 1766/659    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
    21568    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     6964    0.002    0.000    0.003    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.003    0.003 misc.py:1(<module>)
       17    0.000    0.000    0.003    0.000 enum.py:451(_create_)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
    17862    0.003    0.000    0.003    0.000 {method '__exit__' of 'memoryview' objects}
        1    0.000    0.000    0.003    0.003 interpolate.py:1(<module>)
     1629    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:112(release)
        1    0.000    0.000    0.003    0.003 toktok.py:10(<module>)
        1    0.000    0.000    0.003    0.003 toktok.py:28(ToktokTokenizer)
        1    0.000    0.000    0.003    0.003 mio.py:1(<module>)
        4    0.000    0.000    0.003    0.001 _base.py:1(<module>)
    12049    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.003    0.003 treebank.py:10(<module>)
     8837    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
     6180    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _pep440.py:285(Version)
     1027    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.003    0.003 _policybase.py:1(<module>)
        1    0.000    0.000    0.003    0.003 treebank.py:193(TreebankWordDetokenizer)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
      909    0.002    0.000    0.003    0.000 inspect.py:2798(__init__)
        1    0.000    0.000    0.003    0.003 grammar.py:12(<module>)
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.002    0.002 featstruct.py:2146(FeatStructReader)
        1    0.000    0.000    0.002    0.002 _store_backends.py:1(<module>)
       99    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
        6    0.000    0.000    0.002    0.000 api.py:9(<module>)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
       12    0.000    0.000    0.002    0.000 dataclasses.py:998(dataclass)
      831    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
        1    0.000    0.000    0.002    0.002 _multivariate.py:4(<module>)
       99    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      383    0.001    0.000    0.002    0.000 inspect.py:1838(_signature_bound_method)
        1    0.000    0.000    0.002    0.002 func_inspect.py:1(<module>)
      831    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
