File,Indexing Time (s),Merge Time (s),Total Index time (s),Index size (bytes),Term count,Temporary file count,Search boot time (s)
amazon_reviews_us_Books_v1_00.tsv.gz,6453.779229640961,339.7875256538391,6793.5667552948001,1195957355,1069652,162,0.6669261455535889
amazon_reviews_us_Digital_Music_Purchase_v1_00.tsv.gz,535.348066329956,18.897146701812744,554.245213031768744,113143620,271313,14,0.191239595413208
amazon_reviews_us_Digital_Video_Games_v1_00.tsv.gz,62.00129270553589,1.8670156002044678,63.8683083057403578,12360853,43475,2,0.04112958908081055
amazon_reviews_us_Music_v1_00.tsv.gz,3464.321731567383,162.16753721237183,3626.48926877975483,658883970,839026,90,0.5143446922302246
