query	ranking	boost/normal	boost window	precision	recall	fmeasure	AP	NDCG	latency (s)	throughput (q/s)
50	bm25	boost	19	0.6133333333333334	0.4176190748043497	0.4945064548595658	0.7495249225147211	0.8874537399047797	1.3272657750667956	0.7534286039656785
10	bm25	boost	20	0.88	0.12097646817743783	0.21220128686813028	0.7981031746031747	0.9077341813707981	1.4407170716668285	0.6940988065360094
20	bm25	boost	20	0.8033333333333333	0.22013261105347448	0.34424436681575343	0.8201877653936477	0.9020273086924956	1.4407170716668285	0.6940988065360094
50	bm25	boost	20	0.6106666666666667	0.4156129366203539	0.4922212428182562	0.7483482617821228	0.8839123103676678	1.4407170716668285	0.6940988065360094
10	bm25	boost	25	0.86	0.1180570879843096	0.2071105011902073	0.7933439153439154	0.904191468482686	1.414431205800065	0.7069979762178363
20	bm25	boost	25	0.7933333333333332	0.21746224517866955	0.3400301819564072	0.8136601436489207	0.897749472624593	1.414431205800065	0.7069979762178363
50	bm25	boost	25	0.596	0.40452038888377684	0.4795994226452155	0.7400004323745153	0.879439384922702	1.414431205800065	0.7069979762178363
10	bm25	boost	30	0.8600000000000001	0.11787743381857864	0.20683899262071806	0.7976957671957673	0.9020562009403863	1.327972773066722	0.7530274869195354
20	bm25	boost	30	0.7933333333333332	0.21753160533126187	0.3401170723658783	0.8157476192824489	0.8977034657991741	1.327972773066722	0.7530274869195354
50	bm25	boost	30	0.596	0.4046866080373378	0.4797152562013057	0.7395759175238226	0.8786733192346985	1.327972773066722	0.7530274869195354
10	bm25	boost	35	0.8600000000000001	0.11787743381857864	0.20683899262071806	0.7940846560846562	0.9001191077267088	1.4313181990000885	0.6986566653722386
20	bm25	boost	35	0.7966666666666666	0.21837548718780198	0.34146387371267967	0.8109820993276874	0.895025077060648	1.4313181990000885	0.6986566653722386
50	bm25	boost	35	0.5933333333333334	0.40286012401907295	0.4775472345210889	0.7360733636796493	0.8761494822134532	1.4313181990000885	0.6986566653722386
10	bm25	boost	40	0.8533333333333334	0.11703355196203855	0.20534086527989412	0.7888359788359789	0.8969628844357157	1.417276963332794	0.7055783914306012
20	bm25	boost	40	0.7966666666666666	0.21837548718780198	0.34146387371267967	0.8061470412112826	0.8925445502365932	1.417276963332794	0.7055783914306012
50	bm25	boost	40	0.592	0.4020162421625329	0.4765136427898227	0.7342277247382578	0.8743322968989311	1.417276963332794	0.7055783914306012
10	bm25	boost	45	0.8533333333333334	0.11703355196203855	0.20534086527989412	0.7888359788359789	0.8969628844357157	1.4300884549330173	0.6992574456150253
20	bm25	boost	45	0.7933333333333333	0.21746224517866955	0.3400301819564072	0.8053352220391693	0.8926393628107324	1.4300884549330173	0.6992574456150253
50	bm25	boost	45	0.5906666666666667	0.4011030001534005	0.47542963194971427	0.7333361632839629	0.8739835493760358	1.4300884549330173	0.6992574456150253
10	bm25	boost	50	0.8533333333333334	0.11703355196203855	0.20534086527989412	0.7880952380952382	0.8961652064793094	1.408401665066655	0.7100247215006475
20	bm25	boost	50	0.7933333333333333	0.21746224517866955	0.3400301819564072	0.804448978652926	0.8918373855372919	1.408401665066655	0.7100247215006475
50	bm25	boost	50	0.5906666666666667	0.4011030001534005	0.47542963194971427	0.7327157014968345	0.8733244424444976	1.408401665066655	0.7100247215006475
10	bm25	boost	100	0.8533333333333334	0.11703355196203855	0.20534086527989412	0.7861507936507938	0.895488030879273	1.4345286733332614	0.6970930721631423
20	bm25	boost	100	0.7866666666666666	0.2157827196446329	0.33735038428113173	0.8009296656645727	0.890447714012883	1.4345286733332614	0.6970930721631423
50	bm25	boost	100	0.5893333333333332	0.4002591182968604	0.4743960402184481	0.7297994484195003	0.8721274624891293	1.4345286733332614	0.6970930721631423
10	bm25	boost	150	0.8533333333333334	0.11703355196203855	0.20534086527989412	0.7770767195767196	0.8879978818209925	1.4309010257334498	0.6988603558288884
20	bm25	boost	150	0.7833333333333333	0.2148694776355005	0.3359166925248593	0.7960320048458592	0.8862883796555772	1.4309010257334498	0.6988603558288884
50	bm25	boost	150	0.5893333333333332	0.4002591182968604	0.4743960402184481	0.7275570611116797	0.8687182060214995	1.4309010257334498	0.6988603558288884
10	bm25	boost	200	0.8533333333333334	0.11703355196203855	0.20534086527989412	0.771457671957672	0.8844796026001536	1.4301112042666015	0.6992463222556362
20	bm25	boost	200	0.7833333333333333	0.2148694776355005	0.3359166925248593	0.794806583480732	0.8839793378269104	1.4301112042666015	0.6992463222556362
50	bm25	boost	200	0.5906666666666666	0.4011723603059928	0.47548005105855656	0.7279524719202273	0.8678515985975074	1.4301112042666015	0.6992463222556362
10	tf-idf	normal	not applicable	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9520093893314677	1.5742257767998429	0.6352328965371442
20	tf-idf	normal	not applicable	1.0	0.27765228644210005	0.4330277464809866	0.9499999999999997	0.9557464061726058	1.5742257767998429	0.6352328965371442
50	tf-idf	normal	not applicable	0.9066666666666666	0.6235703608163108	0.7351831367532566	0.9582401830602585	0.9554429987811138	1.5742257767998429	0.6352328965371442
10	tf-idf	boost	1	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9588376090373695	2.005337629200221	0.49866914450651634
20	tf-idf	boost	1	0.9866666666666667	0.2734603559083774	0.426655783119776	0.9492678591904595	0.960529962198591	2.005337629200221	0.49866914450651634
50	tf-idf	boost	1	0.9093333333333332	0.6269862342516652	0.7384713101147167	0.9592506119934915	0.9582069286961526	2.005337629200221	0.49866914450651634
10	tf-idf	boost	2	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9620162105534917	2.0516904651334094	0.48740295721702637
20	tf-idf	boost	2	0.9933333333333334	0.2754664940923732	0.4297355654110277	0.9496393762183233	0.9632239484806936	2.0516904651334094	0.48740295721702637
50	tf-idf	boost	2	0.9186666666666666	0.6322757514970737	0.7452577481092421	0.9600722996697416	0.9616030457523054	2.0516904651334094	0.48740295721702637
10	tf-idf	boost	3	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9624673522881046	2.1601062389331975	0.4629401933924628
20	tf-idf	boost	3	0.9966666666666666	0.27655939026723664	0.43138165594600714	0.9492349644536174	0.9631051026649681	2.1601062389331975	0.4629401933924628
50	tf-idf	boost	3	0.9160000000000001	0.6298154233697376	0.742704030006315	0.9584162720768581	0.9613639833717105	2.1601062389331975	0.4629401933924628
10	tf-idf	boost	4	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9685152033025369	2.02681103720012	0.4933859060593144
20	tf-idf	boost	4	0.9966666666666666	0.27655939026723664	0.43138165594600714	0.9492349644536174	0.9683660433762604	2.02681103720012	0.4933859060593144
50	tf-idf	boost	4	0.9106666666666666	0.6262682424278562	0.738472337683777	0.9581081338027211	0.9647929319421906	2.02681103720012	0.4933859060593144
10	tf-idf	boost	5	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9694765697032964	2.052573585800201	0.487193251885363
20	tf-idf	boost	5	0.9966666666666666	0.27655939026723664	0.43138165594600714	0.9496393762183233	0.968223102983733	2.052573585800201	0.487193251885363
50	tf-idf	boost	5	0.912	0.6271814844369885	0.7395563485238854	0.9609446227622183	0.9654517855703794	2.052573585800201	0.487193251885363
10	tf-idf	boost	6	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9691185793393327	2.055558594266525	0.48648576731855464
20	tf-idf	boost	6	0.9966666666666666	0.27655939026723664	0.43138165594600714	0.9496393762183233	0.9688403394725215	2.055558594266525	0.48648576731855464
50	tf-idf	boost	6	0.9080000000000001	0.6237872863621023	0.7358643740109412	0.9613419054836619	0.9660871854172479	2.055558594266525	0.48648576731855464
10	tf-idf	boost	7	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9697802526102566	2.0465670786002494	0.4886231242828114
20	tf-idf	boost	7	0.9966666666666666	0.27655939026723664	0.43138165594600714	0.9496393762183233	0.968557877100645	2.0465670786002494	0.4886231242828114
50	tf-idf	boost	7	0.9093333333333333	0.624655521338886	0.7369153099156491	0.9619961950083058	0.9660858862541883	2.0465670786002494	0.4886231242828114
10	tf-idf	boost	8	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9697961634574084	2.0406211922669173	0.49004685621690736
20	tf-idf	boost	8	0.9966666666666666	0.27655939026723664	0.43138165594600714	0.9496393762183233	0.9678662175005298	2.0406211922669173	0.49004685621690736
50	tf-idf	boost	8	0.9093333333333333	0.624655521338886	0.7369153099156491	0.9616739807666025	0.9663805570642643	2.0406211922669173	0.49004685621690736
10	tf-idf	boost	9	1.0	0.13882614322105002	0.24323560427537355	0.9000000000000002	0.9703493052741025	2.0695592454001597	0.48319467163001895
20	tf-idf	boost	9	0.9933333333333334	0.2755789981103739	0.42986650443085567	0.9492787524366469	0.9689537933449367	2.0695592454001597	0.48319467163001895
